Plot,Tree_ID,spp,Grid_Square,Sapflux_ID,Sapflux_2.5cm,Sapflux_5.0cm,Tree_Flux,Dendro,Auto_dendro
Control,1439,ACRU,B3,C7,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1436,ACRU,C4,C8,TRUE,TRUE,TRUE,TRUE,FALSE
Control,1451,ACRU,A1,C19,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1387,ACRU,D4,C10,TRUE,TRUE,TRUE,TRUE,FALSE
Control,1395,ACRU,F2,C11,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1390,FAGR,E4,C16,TRUE,TRUE,TRUE,TRUE,FALSE
Control,1452,FAGR,NA,C18,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1425,LITU,C5,C3,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1411,LITU,B7,C6,TRUE,TRUE,TRUE,TRUE,FALSE
Control,1456,ACRU,NA,C9,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1407,FAGR,B8,C13,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1412,FAGR,B7,C14,TRUE,TRUE,TRUE,TRUE,FALSE
Control,1432,FAGR,A4,C15,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1384,LITU,F5,C1,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1385,LITU,F5,C2,TRUE,TRUE,TRUE,TRUE,TRUE
Control,1325,LITU,H4,C4,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1330,LITU,I3,C5,TRUE,FALSE,TRUE,TRUE,FALSE
Control,1328,ACRU,G3,C12,TRUE,TRUE,TRUE,TRUE,TRUE
Control,1380,FAGR,F6,C17,TRUE,TRUE,TRUE,TRUE,TRUE
control,1319,ACRU,G6,C20,TRUE,FALSE,TRUE,TRUE,FALSE
Freshwater,1578,LITU,H5,F1,TRUE,FALSE,TRUE,TRUE,FALSE
Freshwater,1561,LITU,E2,F4,TRUE,FALSE,TRUE,TRUE,FALSE
Freshwater,1591,LITU,G3,F5,TRUE,TRUE,TRUE,TRUE,FALSE
Freshwater,1592,ACRU,G3,F9,TRUE,TRUE,TRUE,TRUE,FALSE
Freshwater,1563,ACRU,F2,F12,TRUE,FALSE,TRUE,TRUE,FALSE
Freshwater,1596,FAGR,H4,F16,TRUE,TRUE,TRUE,TRUE,TRUE
Freshwater,1573,ACRU,I7,F20,TRUE,FALSE,FALSE,TRUE,FALSE
Freshwater,1552,LITU,D5,F3,TRUE,TRUE,TRUE,TRUE,FALSE
Freshwater,1551,LITU,D6,F6,TRUE,TRUE,TRUE,TRUE,TRUE
Freshwater,1520,ACRU,B5,F7,TRUE,TRUE,TRUE,TRUE,FALSE
Freshwater,1521,ACRU,B4,F8,TRUE,FALSE,TRUE,TRUE,FALSE
Freshwater,1519,FAGR,D6,F13,TRUE,TRUE,TRUE,TRUE,FALSE
Freshwater,1516,FAGR,A6,F15,TRUE,FALSE,TRUE,TRUE,FALSE
Freshwater,1559,ACRU,D2,F19,TRUE,FALSE,FALSE,TRUE,FALSE
Freshwater,1576,LITU,G6,F2,TRUE,FALSE,TRUE,TRUE,FALSE
Freshwater,1546,ACRU,F8,F10,TRUE,FALSE,TRUE,TRUE,FALSE
Freshwater,1548,ACRU,F6,F11,TRUE,TRUE,TRUE,TRUE,TRUE
Freshwater,1543,FAGR,D7,F14,TRUE,FALSE,TRUE,TRUE,FALSE
Freshwater,1580,FAGR,I6,F17,TRUE,TRUE,TRUE,TRUE,FALSE
Freshwater,1569,FAGR,H8,F18,TRUE,FALSE,TRUE,TRUE,FALSE
Saltwater,1790,LITU,C5,S2,TRUE,TRUE,TRUE,TRUE,FALSE
Saltwater,1783,LITU,E5,S3,TRUE,TRUE,TRUE,TRUE,TRUE
Saltwater,1848,FAGR,A2,S13,TRUE,FALSE,TRUE,TRUE,FALSE
Saltwater,1829,FAGR,E4,S15,TRUE,FALSE,TRUE,TRUE,FALSE
Saltwater,1839,FAGR,C2,S16,TRUE,TRUE,TRUE,TRUE,FALSE
Saltwater,1868,FAGR,D1,S17,TRUE,FALSE,TRUE,TRUE,FALSE
Saltwater,1771,LITU,F7,S1,TRUE,FALSE,TRUE,TRUE,FALSE
Saltwater,1781,LITU,E6,S4,TRUE,FALSE,TRUE,TRUE,FALSE
Saltwater,1733,ACRU,D7,S7,TRUE,FALSE,TRUE,TRUE,FALSE
Saltwater,1788,ACRU,C6,S8,TRUE,FALSE,TRUE,TRUE,TRUE
Saltwater,1772,ACRU,F6,S11,TRUE,FALSE,TRUE,TRUE,FALSE
Saltwater,1780,FAGR,E5,S18,TRUE,TRUE,TRUE,TRUE,FALSE
Saltwater,1749,ACRU,B8,S20,TRUE,FALSE,FALSE,TRUE,FALSE
Saltwater,1778,LITU,F5,S5,TRUE,FALSE,TRUE,TRUE,FALSE
Saltwater,1773,LITU,G6,S6,TRUE,TRUE,TRUE,TRUE,FALSE
Saltwater,1865,ACRU,F2,S9,TRUE,TRUE,TRUE,TRUE,FALSE
Saltwater,1775,ACRU,G5,S10,TRUE,TRUE,TRUE,TRUE,FALSE
Saltwater,1776,ACRU,F4,S12,TRUE,TRUE,TRUE,TRUE,FALSE
Saltwater,1851,FAGR,I2,S14,TRUE,TRUE,TRUE,TRUE,TRUE
Saltwater,1835,ACRU,D2,S19,TRUE,FALSE,FALSE,TRUE,FALSE
